split,feature_name,feature_group,n_rows,n_missing,missing_fraction,n_infinite
train,aa_A,base,2097,0,0.0,0
train,aa_C,base,2097,0,0.0,0
train,aa_D,base,2097,0,0.0,0
train,aa_E,base,2097,0,0.0,0
train,aa_F,base,2097,0,0.0,0
train,aa_G,base,2097,0,0.0,0
train,aa_H,base,2097,0,0.0,0
train,aa_I,base,2097,0,0.0,0
train,aa_K,base,2097,0,0.0,0
train,aa_L,base,2097,0,0.0,0
train,aa_M,base,2097,0,0.0,0
train,aa_N,base,2097,0,0.0,0
train,aa_P,base,2097,0,0.0,0
train,aa_Q,base,2097,0,0.0,0
train,aa_R,base,2097,0,0.0,0
train,aa_S,base,2097,0,0.0,0
train,aa_T,base,2097,0,0.0,0
train,aa_V,base,2097,0,0.0,0
train,aa_W,base,2097,0,0.0,0
train,aa_Y,base,2097,0,0.0,0
train,prev_A,base,2097,0,0.0,0
train,prev_C,base,2097,0,0.0,0
train,prev_D,base,2097,0,0.0,0
train,prev_E,base,2097,0,0.0,0
train,prev_F,base,2097,0,0.0,0
train,prev_G,base,2097,0,0.0,0
train,prev_H,base,2097,0,0.0,0
train,prev_I,base,2097,0,0.0,0
train,prev_K,base,2097,0,0.0,0
train,prev_L,base,2097,0,0.0,0
train,prev_M,base,2097,0,0.0,0
train,prev_N,base,2097,0,0.0,0
train,prev_P,base,2097,0,0.0,0
train,prev_Q,base,2097,0,0.0,0
train,prev_R,base,2097,0,0.0,0
train,prev_S,base,2097,0,0.0,0
train,prev_T,base,2097,0,0.0,0
train,prev_V,base,2097,0,0.0,0
train,prev_W,base,2097,0,0.0,0
train,prev_Y,base,2097,0,0.0,0
train,next_A,base,2097,0,0.0,0
train,next_C,base,2097,0,0.0,0
train,next_D,base,2097,0,0.0,0
train,next_E,base,2097,0,0.0,0
train,next_F,base,2097,0,0.0,0
train,next_G,base,2097,0,0.0,0
train,next_H,base,2097,0,0.0,0
train,next_I,base,2097,0,0.0,0
train,next_K,base,2097,0,0.0,0
train,next_L,base,2097,0,0.0,0
train,next_M,base,2097,0,0.0,0
train,next_N,base,2097,0,0.0,0
train,next_P,base,2097,0,0.0,0
train,next_Q,base,2097,0,0.0,0
train,next_R,base,2097,0,0.0,0
train,next_S,base,2097,0,0.0,0
train,next_T,base,2097,0,0.0,0
train,next_V,base,2097,0,0.0,0
train,next_W,base,2097,0,0.0,0
train,next_Y,base,2097,0,0.0,0
train,position_fraction,base,2097,0,0.0,0
train,log_chain_length,base,2097,0,0.0,0
train,sin_phi,base,2097,0,0.0,0
train,cos_phi,base,2097,0,0.0,0
train,phi_mask,base,2097,0,0.0,0
train,sin_psi,base,2097,0,0.0,0
train,cos_psi,base,2097,0,0.0,0
train,psi_mask,base,2097,0,0.0,0
train,ca_contacts_6a,shared_h_n_structure,2097,0,0.0,0
train,ca_contacts_8a,shared_h_n_structure,2097,0,0.0,0
train,ca_contacts_10a,shared_h_n_structure,2097,0,0.0,0
train,nearest_backbone_o_distance,h_structure,2097,0,0.0,0
train,backbone_o_within_3p5a,h_structure,2097,0,0.0,0
train,hbond_proxy_mask,h_structure,2097,0,0.0,0
val,aa_A,base,703,0,0.0,0
val,aa_C,base,703,0,0.0,0
val,aa_D,base,703,0,0.0,0
val,aa_E,base,703,0,0.0,0
val,aa_F,base,703,0,0.0,0
val,aa_G,base,703,0,0.0,0
val,aa_H,base,703,0,0.0,0
val,aa_I,base,703,0,0.0,0
val,aa_K,base,703,0,0.0,0
val,aa_L,base,703,0,0.0,0
val,aa_M,base,703,0,0.0,0
val,aa_N,base,703,0,0.0,0
val,aa_P,base,703,0,0.0,0
val,aa_Q,base,703,0,0.0,0
val,aa_R,base,703,0,0.0,0
val,aa_S,base,703,0,0.0,0
val,aa_T,base,703,0,0.0,0
val,aa_V,base,703,0,0.0,0
val,aa_W,base,703,0,0.0,0
val,aa_Y,base,703,0,0.0,0
val,prev_A,base,703,0,0.0,0
val,prev_C,base,703,0,0.0,0
val,prev_D,base,703,0,0.0,0
val,prev_E,base,703,0,0.0,0
val,prev_F,base,703,0,0.0,0
val,prev_G,base,703,0,0.0,0
val,prev_H,base,703,0,0.0,0
val,prev_I,base,703,0,0.0,0
val,prev_K,base,703,0,0.0,0
val,prev_L,base,703,0,0.0,0
val,prev_M,base,703,0,0.0,0
val,prev_N,base,703,0,0.0,0
val,prev_P,base,703,0,0.0,0
val,prev_Q,base,703,0,0.0,0
val,prev_R,base,703,0,0.0,0
val,prev_S,base,703,0,0.0,0
val,prev_T,base,703,0,0.0,0
val,prev_V,base,703,0,0.0,0
val,prev_W,base,703,0,0.0,0
val,prev_Y,base,703,0,0.0,0
val,next_A,base,703,0,0.0,0
val,next_C,base,703,0,0.0,0
val,next_D,base,703,0,0.0,0
val,next_E,base,703,0,0.0,0
val,next_F,base,703,0,0.0,0
val,next_G,base,703,0,0.0,0
val,next_H,base,703,0,0.0,0
val,next_I,base,703,0,0.0,0
val,next_K,base,703,0,0.0,0
val,next_L,base,703,0,0.0,0
val,next_M,base,703,0,0.0,0
val,next_N,base,703,0,0.0,0
val,next_P,base,703,0,0.0,0
val,next_Q,base,703,0,0.0,0
val,next_R,base,703,0,0.0,0
val,next_S,base,703,0,0.0,0
val,next_T,base,703,0,0.0,0
val,next_V,base,703,0,0.0,0
val,next_W,base,703,0,0.0,0
val,next_Y,base,703,0,0.0,0
val,position_fraction,base,703,0,0.0,0
val,log_chain_length,base,703,0,0.0,0
val,sin_phi,base,703,0,0.0,0
val,cos_phi,base,703,0,0.0,0
val,phi_mask,base,703,0,0.0,0
val,sin_psi,base,703,0,0.0,0
val,cos_psi,base,703,0,0.0,0
val,psi_mask,base,703,0,0.0,0
val,ca_contacts_6a,shared_h_n_structure,703,0,0.0,0
val,ca_contacts_8a,shared_h_n_structure,703,0,0.0,0
val,ca_contacts_10a,shared_h_n_structure,703,0,0.0,0
val,nearest_backbone_o_distance,h_structure,703,0,0.0,0
val,backbone_o_within_3p5a,h_structure,703,0,0.0,0
val,hbond_proxy_mask,h_structure,703,0,0.0,0
test,aa_A,base,698,0,0.0,0
test,aa_C,base,698,0,0.0,0
test,aa_D,base,698,0,0.0,0
test,aa_E,base,698,0,0.0,0
test,aa_F,base,698,0,0.0,0
test,aa_G,base,698,0,0.0,0
test,aa_H,base,698,0,0.0,0
test,aa_I,base,698,0,0.0,0
test,aa_K,base,698,0,0.0,0
test,aa_L,base,698,0,0.0,0
test,aa_M,base,698,0,0.0,0
test,aa_N,base,698,0,0.0,0
test,aa_P,base,698,0,0.0,0
test,aa_Q,base,698,0,0.0,0
test,aa_R,base,698,0,0.0,0
test,aa_S,base,698,0,0.0,0
test,aa_T,base,698,0,0.0,0
test,aa_V,base,698,0,0.0,0
test,aa_W,base,698,0,0.0,0
test,aa_Y,base,698,0,0.0,0
test,prev_A,base,698,0,0.0,0
test,prev_C,base,698,0,0.0,0
test,prev_D,base,698,0,0.0,0
test,prev_E,base,698,0,0.0,0
test,prev_F,base,698,0,0.0,0
test,prev_G,base,698,0,0.0,0
test,prev_H,base,698,0,0.0,0
test,prev_I,base,698,0,0.0,0
test,prev_K,base,698,0,0.0,0
test,prev_L,base,698,0,0.0,0
test,prev_M,base,698,0,0.0,0
test,prev_N,base,698,0,0.0,0
test,prev_P,base,698,0,0.0,0
test,prev_Q,base,698,0,0.0,0
test,prev_R,base,698,0,0.0,0
test,prev_S,base,698,0,0.0,0
test,prev_T,base,698,0,0.0,0
test,prev_V,base,698,0,0.0,0
test,prev_W,base,698,0,0.0,0
test,prev_Y,base,698,0,0.0,0
test,next_A,base,698,0,0.0,0
test,next_C,base,698,0,0.0,0
test,next_D,base,698,0,0.0,0
test,next_E,base,698,0,0.0,0
test,next_F,base,698,0,0.0,0
test,next_G,base,698,0,0.0,0
test,next_H,base,698,0,0.0,0
test,next_I,base,698,0,0.0,0
test,next_K,base,698,0,0.0,0
test,next_L,base,698,0,0.0,0
test,next_M,base,698,0,0.0,0
test,next_N,base,698,0,0.0,0
