request_rank,bmrb_id,n_candidate_pdb_ids,candidate_pdb_ids,request_status,shift_screen_eligible,n_paired_hn_targets,failure_reason
1,4020,1,1BRV,pending,,,
2,4120,1,1A60,pending,,,
3,4148,1,4BMF,pending,,,
4,4157,1,1LFC,pending,,,
5,4172,1,1BN9,pending,,,
6,4175,1,1BN0,pending,,,
7,4176,1,1BJD,pending,,,
8,4181,1,1PFD,pending,,,
9,4182,1,1BFY,pending,,,
10,4187,1,1SKP,pending,,,
11,4189,1,1GIW,pending,,,
12,4190,1,1BIG,pending,,,
13,4191,1,2BMT,pending,,,
14,4192,1,1BDE,pending,,,
15,4194,1,1BH1,pending,,,
16,4195,1,2BTX,pending,,,
17,4200,1,1A93,pending,,,
18,4201,1,1A3P,pending,,,
19,4204,1,1BQT,pending,,,
20,4208,1,2DVH,pending,,,
21,4210,1,1BA5,pending,,,
22,4211,1,1BBG,pending,,,
23,4212,1,1BCV,pending,,,
24,4213,1,1BFW,pending,,,
25,4218,1,1CN2,pending,,,
26,4219,1,1BKU,pending,,,
27,4220,1,1BMX,pending,,,
28,4221,1,1BM4,pending,,,
29,4226,1,1LDZ,pending,,,
30,4229,1,1BQX,pending,,,
31,4231,1,1BWE,pending,,,
32,4235,1,1BWT,pending,,,
33,4243,1,1C11,pending,,,
34,4244,1,1BX5,pending,,,
35,4246,1,2V1V,pending,,,
36,4250,1,3PHP,pending,,,
37,4257,2,1VPC;1X9V,pending,,,
38,4260,1,1BYV,pending,,,
39,4261,1,1BZB,pending,,,
40,4268,1,1BD6,pending,,,
41,4292,1,1B1V,pending,,,
42,4347,1,1QP6,pending,,,
43,4351,1,1QGM,pending,,,
44,4372,2,1C32;1C34,pending,,,
45,4378,1,2LCP,pending,,,
46,4387,1,8TFV,pending,,,
47,4392,2,1B0S;1CYZ,pending,,,
48,4398,1,1QFA,pending,,,
49,4399,1,1CNL,pending,,,
50,4400,1,1B4Y,pending,,,
51,4401,1,1BLQ,pending,,,
52,4406,1,1QFB,pending,,,
53,4407,1,1CMZ,pending,,,
54,4409,1,1QKG,pending,,,
55,4412,1,1QL5,pending,,,
56,4414,1,1B3I,pending,,,
57,4415,1,1TTD,pending,,,
58,4416,1,1COC,pending,,,
59,4418,1,1CCQ,pending,,,
60,4419,1,1CB9,pending,,,
61,4420,1,1IM1,pending,,,
62,4422,1,1CCV,pending,,,
63,4426,1,2BDO,pending,,,
64,4427,1,1QKY,pending,,,
65,4430,2,1JWD;2CNP,pending,,,
66,4461,1,1DF6,pending,,,
67,4475,1,1CR8,pending,,,
68,4476,1,1B4G,pending,,,
69,4477,1,1B4I,pending,,,
70,4481,1,1B9P,pending,,,
71,4483,1,1CB3,pending,,,
72,4486,1,2MOB,pending,,,
73,4487,1,1CE3,pending,,,
74,4488,1,1CFL,pending,,,
75,4490,1,1QFD,pending,,,
76,4498,1,1CL4,pending,,,
77,4500,1,1CNN,pending,,,
78,4503,1,1QMW,pending,,,
79,4506,1,1CW5,pending,,,
80,4507,1,1CW6,pending,,,
81,4509,1,1CXR,pending,,,
82,4522,1,1D8V,pending,,,
83,4526,1,1DC2,pending,,,
84,4527,1,1DC7,pending,,,
85,4536,1,1DGO,pending,,,
86,4541,1,1QUZ,pending,,,
87,4542,1,1QE7,pending,,,
88,4547,1,1C2Q,pending,,,
89,4550,1,1CQO,pending,,,
90,4551,1,1CQU,pending,,,
91,4552,1,1G8C,pending,,,
92,4557,1,1QLO,pending,,,
93,4570,1,1B4O,pending,,,
94,4581,1,1D1O,pending,,,
95,4585,1,1DU9,pending,,,
96,4587,1,1ED0,pending,,,
97,4590,2,1EIG;1EIH,pending,,,
98,4591,1,1EJP,pending,,,
99,4592,1,1EJQ,pending,,,
100,4595,1,1CKW,pending,,,
101,4596,1,1CKX,pending,,,
102,4597,1,1CKY,pending,,,
103,4598,1,1CKZ,pending,,,
104,4600,1,1CL4,pending,,,
105,4601,1,1DLZ,pending,,,
106,4604,1,1EE7,pending,,,
