structure_screen_pair_rank,candidate_pair_rank,bmrb_id,pdb_id,entity_selected,shift_list_selected,eligible_for_entity_chain_alignment
1,47,4378,2LCP,False,False,True
2,54,4401,1BLQ,False,False,True
3,56,4407,1CMZ,False,False,True
4,66,4426,2BDO,False,False,True
5,68,4430,1JWD,False,False,True
6,69,4430,2CNP,False,False,True
7,71,4475,1CR8,False,False,True
8,76,4486,2MOB,False,False,True
9,80,4498,1CL4,False,False,True
10,88,4527,1DC7,False,False,True
11,98,4581,1D1O,False,False,True
12,101,4590,1EIG,False,False,True
13,102,4590,1EIH,False,False,True
14,109,4600,1CL4,False,False,True
15,121,4620,1E1U,False,False,True
16,122,4623,1E5C,False,False,True
17,131,4638,1FA3,False,False,True
18,147,4663,1C3T,False,False,True
19,150,4679,1FLS,False,False,True
20,151,4679,1FM1,False,False,True
21,152,4682,1EII,False,False,True
22,163,4778,1FI6,False,False,True
23,164,4798,1FPW,False,False,True
24,173,4850,1FOV,False,False,True
25,176,4869,1LWM,False,False,True
26,178,4879,1IJA,False,False,True
27,179,4880,1H67,False,False,True
28,180,4884,1G47,False,False,True
29,184,4893,1KVZ,False,False,True
30,185,4894,1EKZ,False,False,True
31,186,4895,1G6P,False,False,True
32,187,4899,1G5V,False,False,True
33,188,4900,1HEH,False,False,True
34,189,4900,1HEJ,False,False,True
35,190,4902,1RJA,False,False,True
36,191,4906,1HF9,False,False,True
37,193,4910,1HDL,False,False,True
38,194,4911,1F96,False,False,True
39,195,4912,1F3C,False,False,True
40,199,4915,1G9L,False,False,True
41,202,4919,1G7E,False,False,True
42,203,4920,2M66,False,False,True
43,207,4925,1EYF,False,False,True
44,208,4927,1N02,False,False,True
45,209,4929,1XDX,False,False,True
46,210,4930,1PS2,False,False,True
47,211,4933,1PS2,False,False,True
48,212,4935,1KVN,False,False,True
49,213,4935,1KVV,False,False,True
50,214,4938,1I17,False,False,True
51,216,4941,1JJR,False,False,True
52,217,4945,1HS7,False,False,True
53,223,4954,1HZE,False,False,True
54,224,4954,1I18,False,False,True
55,225,4957,1I1S,False,False,True
56,226,4958,2NBI,False,False,True
57,227,4959,1INZ,False,False,True
58,230,4972,1K1C,False,False,True
59,231,4977,1N89,False,False,True
60,233,4980,1QWQ,False,False,True
61,234,4984,1KOS,False,False,True
62,235,4986,9PGN,False,False,True
63,237,4989,1HY8,False,False,True
64,238,4991,1ILO,False,False,True
65,240,4994,1IH0,False,False,True
66,242,4996,1IIO,False,False,True
67,244,5004,1IK0,False,False,True
68,248,5010,1JAJ,False,False,True
69,249,5012,1J7M,False,False,True
70,250,5018,1ICH,False,False,True
71,253,5022,1I4V,False,False,True
72,259,5027,1J8K,False,False,True
73,261,5030,1TUJ,False,False,True
74,262,5031,1M2E,False,False,True
75,263,5031,1M2F,False,False,True
76,268,5036,1I11,False,False,True
77,270,5038,1JAS,False,False,True
78,271,5041,1IMO,False,False,True
79,272,5041,1IN1,False,False,True
80,273,5042,1J8I,False,False,True
81,274,5042,1J9O,False,False,True
82,276,5044,1IE5,False,False,True
83,278,5047,1JBI,False,False,True
84,279,5048,1JBH,False,False,True
85,280,5049,1N6U,False,False,True
86,281,5049,1N6V,False,False,True
87,283,5051,1JCU,False,False,True
88,285,5053,1IFW,False,False,True
89,286,5054,1JKN,False,False,True
90,287,5055,1IMU,False,False,True
91,288,5059,1JE3,False,False,True
92,289,5060,1JDQ,False,False,True
93,290,5065,1IBI,False,False,True
94,292,5070,1JH3,False,False,True
95,293,5071,1JC2,False,False,True
96,294,5072,1JBJ,False,False,True
97,295,5073,1JE4,False,False,True
98,297,5075,1JFN,False,False,True
99,298,5077,1JJG,False,False,True
100,299,5078,1K8M,False,False,True
101,300,5078,1K8O,False,False,True
102,302,5083,1JJJ,False,False,True
103,303,5084,1JH4,False,False,True
104,304,5085,1JGN,False,False,True
105,308,5094,1JJL,False,False,True
106,309,5094,1K19,False,False,True
107,312,5100,1J2O,False,False,True
108,313,5101,1GJZ,False,False,True
109,314,5104,1JRM,False,False,True
110,315,5106,1RYJ,False,False,True
111,324,5115,1JI8,False,False,True
112,325,5116,1JI8,False,False,True
113,326,5117,2PJF,False,False,True
114,328,5122,1JWE,False,False,True
115,329,5129,1IQO,False,False,True
116,330,5129,1IQS,False,False,True
117,331,5130,1IY4,False,False,True
118,332,5131,1GM1,False,False,True
119,342,5141,1T4Y,False,False,True
120,343,5141,1T4Z,False,False,True
121,344,5142,1IY3,False,False,True
122,345,5145,1LG4,False,False,True
123,346,5147,1JJD,False,False,True
124,347,5148,1JQ4,False,False,True
125,351,5155,1JRU,False,False,True
126,353,5159,1XKE,False,False,True
127,354,5162,1MP1,False,False,True
128,356,5165,1JW3,False,False,True
129,357,5166,1JW2,False,False,True
130,364,5172,1K3G,False,False,True
131,365,5172,1K3H,False,False,True
132,368,5174,1IRZ,False,False,True
133,369,5175,1K5O,False,False,True
134,371,5177,1TVJ,False,False,True
135,372,5178,1K85,False,False,True
136,373,5179,1K1Z,False,False,True
137,375,5181,1K42,False,False,True
138,376,5181,1K45,False,False,True
139,380,5185,1KAT,False,False,True
140,381,5187,1V4R,False,False,True
141,383,5189,1NSH,False,False,True
142,386,5194,1K5W,False,False,True
143,388,5199,1KG1,False,False,True
144,390,5202,2ILX,False,False,True
145,391,5203,1KBE,False,False,True
146,392,5203,1KBF,False,False,True
147,393,5204,1K9C,False,False,True
148,395,5206,1UWO,False,False,True
149,397,5208,1BNP,False,False,True
150,398,5208,1BPD,False,False,True
151,399,5208,1BPE,False,False,True
152,400,5208,1BPX,False,False,True
153,401,5209,1BNP,False,False,True
154,402,5209,1BPD,False,False,True
155,403,5209,1BPE,False,False,True
156,404,5209,1BPX,False,False,True
157,405,5209,1XNT,False,False,True
158,407,5211,1KA7,False,False,True
159,408,5212,1KA6,False,False,True
160,409,5213,1K0V,False,False,True
161,413,5217,1KFT,False,False,True
162,414,5220,1K0X,False,False,True
163,415,5225,1JNS,False,False,True
164,416,5225,1JNT,False,False,True
165,417,5232,1KXL,False,False,True
166,418,5236,1KN7,False,False,True
167,419,5238,1KMX,False,False,True
168,420,5238,1VGH,False,False,True
169,421,5238,2VGH,False,False,True
