pdb_id,reason
1JJL,not_returned_by_rcsb_graphql
29JD,not_returned_by_rcsb_graphql
2KO8,not_returned_by_rcsb_graphql
2M95,not_returned_by_rcsb_graphql
30OA,not_returned_by_rcsb_graphql
5FIM,not_returned_by_rcsb_graphql
6TK0,not_returned_by_rcsb_graphql
6Y0I,not_returned_by_rcsb_graphql
7QV4,not_returned_by_rcsb_graphql
7XLN,not_returned_by_rcsb_graphql
8DRC,not_returned_by_rcsb_graphql
8OQB,not_returned_by_rcsb_graphql
8QDL,not_returned_by_rcsb_graphql
8QDM,not_returned_by_rcsb_graphql
8QON,not_returned_by_rcsb_graphql
8UN6,not_returned_by_rcsb_graphql
9DPH,not_returned_by_rcsb_graphql
9DPJ,not_returned_by_rcsb_graphql
9DPK,not_returned_by_rcsb_graphql
9T0O,not_returned_by_rcsb_graphql
9Y10,not_returned_by_rcsb_graphql
9Y13,not_returned_by_rcsb_graphql
