pdb_id,coordinate_url,drive_relative_path,size_bytes,sha256,receipt_sha256,download_completed_at_utc,receipt_pdb_matches,receipt_queue_matches,receipt_url_matches,receipt_status_complete,size_matches,checksum_matches,recorded_gzip_check_passed,recorded_mmcif_check_passed,all_checks_passed
1AKE,https://files.rcsb.org/download/1AKE.cif.gz,nmr_hsqc_predictor_v15/coordinate_cache/step65c2b_first_pass/mmcif_gz/1ake.cif.gz,107780,a27e22d37ee7dfdb48ba8941467a92889a1932281459cb2d472ad2aea79b9927,a3883b38b6a4e883ae44b40e498bdd2638e5fa82d9dbb8a3da62cf5e6bcedb39,2026-09-13T01:46:02.213000+00:00,True,True,True,True,True,True,True,True,True
1AZP,https://files.rcsb.org/download/1AZP.cif.gz,nmr_hsqc_predictor_v15/coordinate_cache/step65c2b_first_pass/mmcif_gz/1azp.cif.gz,43041,2338babe884a610f0dfbf3d9c98e2ac4f7cbde8cbc36257c73f013b01c301e4a,84aa930bf28a0be288fa4385cc9bc3bb3e295984ee2b9d079ba4f373357acd38,2026-09-13T01:46:01.496263+00:00,True,True,True,True,True,True,True,True,True
1AZQ,https://files.rcsb.org/download/1AZQ.cif.gz,nmr_hsqc_predictor_v15/coordinate_cache/step65c2b_first_pass/mmcif_gz/1azq.cif.gz,36395,fd8b8f04e05314613e64efce7e388ef499feafd39497be0129f4119a5c7cead5,bbee2a8fa3cc4b8558498b2c92e4ebb7edbf94ce2b13f6b402cad07e558540ab,2026-09-13T01:46:01.458254+00:00,True,True,True,True,True,True,True,True,True
1B4C,https://files.rcsb.org/download/1B4C.cif.gz,nmr_hsqc_predictor_v15/coordinate_cache/step65c2b_first_pass/mmcif_gz/1b4c.cif.gz,1201220,ac2c77723849d5ab63dd065ead43e98cbd456fe1c2308807b047851702ed2397,a4ea06e5712890d8f21d08a8efa0547f47628b291d843244c1dbf7c5cf220c1c,2026-09-13T01:46:02.314734+00:00,True,True,True,True,True,True,True,True,True
1BBX,https://files.rcsb.org/download/1BBX.cif.gz,nmr_hsqc_predictor_v15/coordinate_cache/step65c2b_first_pass/mmcif_gz/1bbx.cif.gz,72056,103246e7157fb2c37b3a88edc95d6e60f89af463c376cc78b95f92f9de0a86ff,c36aadf9847166249fdde0b46d84fc0d2bbd88cfa42baa29ad8a3b4ec714be6a,2026-09-13T01:46:02.382121+00:00,True,True,True,True,True,True,True,True,True
1BLQ,https://files.rcsb.org/download/1BLQ.cif.gz,nmr_hsqc_predictor_v15/coordinate_cache/step65c2b_first_pass/mmcif_gz/1blq.cif.gz,767608,9963677284dc3df7afb61422d3fb99b0fd22abc5251ef641605d649b07e22b02,187512158cec1ece50f410207f2fd25757211b1541bf1c03d14e76eb42d59608,2026-09-13T01:46:02.992459+00:00,True,True,True,True,True,True,True,True,True
1BPD,https://files.rcsb.org/download/1BPD.cif.gz,nmr_hsqc_predictor_v15/coordinate_cache/step65c2b_first_pass/mmcif_gz/1bpd.cif.gz,76991,f3dfaafc683f123453dfd719ad2f8f3bee132057e602dcafcc41f6d6231c217b,8792256b3369cf0b8e3bc901a6df7d5f7651f907ab6a4beb295ed3c4e3b465a8,2026-09-13T01:46:02.962501+00:00,True,True,True,True,True,True,True,True,True
1BPE,https://files.rcsb.org/download/1BPE.cif.gz,nmr_hsqc_predictor_v15/coordinate_cache/step65c2b_first_pass/mmcif_gz/1bpe.cif.gz,70554,b2a30265762087164dcf9a92bc08a55640c63ce771bd3c6227d1ad62bc7a65b6,92b05cb7089ccab00bb9dcbf35c6b93f43d5ea2a41c835dae8aaf79e0733cd3e,2026-09-13T01:46:03.538353+00:00,True,True,True,True,True,True,True,True,True
1BTA,https://files.rcsb.org/download/1BTA.cif.gz,nmr_hsqc_predictor_v15/coordinate_cache/step65c2b_first_pass/mmcif_gz/1bta.cif.gz,41359,4de400a0c30496c22bfa2173af75eafcd63c4ed0ff9885c9369ae64c56d141d4,868253ea4c8f9ee8d5590600dab28b2d83774161cfcc58e481be0e20d2e7f946,2026-09-13T01:46:03.085436+00:00,True,True,True,True,True,True,True,True,True
1C3T,https://files.rcsb.org/download/1C3T.cif.gz,nmr_hsqc_predictor_v15/coordinate_cache/step65c2b_first_pass/mmcif_gz/1c3t.cif.gz,490569,9e305a55f6c70a30df2475e621f16c59240eaf15a692c41e62f04dbf910c6929,33d6c9dc78a491e5ff077fc1e441dd302f138472152e88672f5aac91fb096b36,2026-09-13T01:46:04.298677+00:00,True,True,True,True,True,True,True,True,True
