bmrb_id,candidate_rows,tie_category,n_bmrb_entities,n_entity_shift_list_groups,n_pdb_structures,n_pdb_polymer_entities,n_coordinate_chains,different_bmrb_entities,different_shift_lists_within_any_entity,different_pdb_structures,candidate_equivalence_established,selection_status
11030,2,different_shift_lists,1,2,1,1,1,False,True,False,False,unresolved_exact_tie
11034,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15021,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15083,2,different_pdb_structures,1,1,2,2,2,False,False,True,False,unresolved_exact_tie
15090,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15142,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15257,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15317,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15324,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15334,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15347,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15350,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15384,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15418,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15442,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15456,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15511,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15528,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15553,2,different_pdb_structures,1,1,2,2,2,False,False,True,False,unresolved_exact_tie
15591,2,different_pdb_structures,1,1,2,2,2,False,False,True,False,unresolved_exact_tie
15633,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15635,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15636,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15637,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15677,8,different_pdb_structures,1,1,2,2,8,False,False,True,False,unresolved_exact_tie
15691,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15912,2,different_shift_lists,1,2,1,1,1,False,True,False,False,unresolved_exact_tie
15916,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15931,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
15999,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16033,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16034,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16050,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16051,2,different_pdb_structures,1,1,2,2,2,False,False,True,False,unresolved_exact_tie
16110,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16135,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16153,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16249,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16258,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16347,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16368,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16486,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16492,3,different_chains_same_polymer_entity,1,1,1,1,3,False,False,False,False,unresolved_exact_tie
16606,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16607,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16632,2,different_shift_lists,1,2,1,1,1,False,True,False,False,unresolved_exact_tie
16636,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16656,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16808,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16809,2,different_shift_lists,1,2,1,1,1,False,True,False,False,unresolved_exact_tie
16871,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
16879,2,different_pdb_structures,1,1,2,2,2,False,False,True,False,unresolved_exact_tie
16961,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17025,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17026,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17031,2,different_pdb_structures,1,1,2,2,2,False,False,True,False,unresolved_exact_tie
17175,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17233,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17261,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17262,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17288,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17425,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17453,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17488,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17561,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17643,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17689,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17704,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17753,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17771,2,different_pdb_structures,1,1,2,2,2,False,False,True,False,unresolved_exact_tie
17772,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17775,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17776,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17832,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17856,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17857,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17892,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17893,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17894,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
17968,2,different_chains_same_polymer_entity,1,1,1,1,2,False,False,False,False,unresolved_exact_tie
