identity_threshold,coverage_threshold,is_frozen_policy_threshold,retained_edge_count,component_count,largest_component_unique_sequences,largest_component_nodes,components_with_opened_external,components_with_development_only,new_only_components,new_nodes_in_opened_external_components,new_nodes_in_development_only_components,freely_allocatable_new_nodes
0.4,0.7,True,335423,1,4366,4823,1,0,0,4686,0,0
0.45,0.7,False,76883,9,4358,4814,1,1,7,4678,0,8
0.5,0.7,False,21772,480,3829,4254,7,16,457,4142,3,541
0.55,0.7,False,6495,2216,1461,1630,35,81,2100,1656,87,2943
0.6,0.7,False,3491,2958,471,485,40,98,2820,74,692,3920
0.65,0.7,False,2671,3342,71,86,40,102,3200,70,232,4384
0.7,0.7,False,2338,3491,34,60,40,102,3349,60,176,4450
0.75,0.7,False,2233,3551,34,49,40,102,3409,58,120,4508
0.8,0.7,False,2120,3601,34,49,40,102,3459,55,111,4520
0.85,0.7,False,1917,3646,34,48,40,102,3504,53,111,4522
0.9,0.7,False,1479,3692,33,48,40,102,3550,50,107,4529
0.95,0.7,False,1131,3767,23,48,40,102,3625,28,65,4593
