shard_number,file,entries,target_rows,mapped_target_rows,unmapped_target_rows,structure_nan_values,size_bytes,sha256
1,target_features_shard_001_of_047.csv.gz,100,9891,9725,166,0,1003460,e3e3aeb77818b712ba76423577fad14e3b2235e360993270b548f626c996efd3
2,target_features_shard_002_of_047.csv.gz,100,10213,10047,166,3,1040154,8b3ada47829df6a2c143d7748d0c479ff1a2e7decb4e241685951e397a8716c8
3,target_features_shard_003_of_047.csv.gz,100,9928,9791,137,0,1005548,599d9a650c23edcf78ee14abea2fd7f9c06776dde7812dadaf9f7a94550bb972
4,target_features_shard_004_of_047.csv.gz,100,9698,9613,85,0,994237,31ffe76420a46fd48ad3f1675d17e8e8a0b206421f2b97d5d8042dd1b2eed6a7
5,target_features_shard_005_of_047.csv.gz,100,9413,9408,5,0,977210,28a178a7c08830facc924a93d5ae2d3d07096dd8f0f32ff606675bd56e5c1b64
6,target_features_shard_006_of_047.csv.gz,100,9299,9221,78,0,954308,0d267197385d9afd78010049abeea9fb44654a2f94d4d2ec256d07acb513a8d0
7,target_features_shard_007_of_047.csv.gz,100,9956,9783,173,0,1012515,ee1f3acfe557f915c523c5e93a2cb23c8b9fb780c7d4bac0018bb8a213b9abf4
8,target_features_shard_008_of_047.csv.gz,100,8478,8475,3,0,878013,ae7393af3ba02ad65e7c7ce75457f713cda0f4a1d6d61990c2acf4e292943a83
9,target_features_shard_009_of_047.csv.gz,100,8315,8313,2,0,861524,2f85164993b63078edf11baa3f80c8f5e0d5fb78b6ddcbd321d17b9329ba01d3
10,target_features_shard_010_of_047.csv.gz,100,8776,8731,45,0,905773,0f1f69e93c52e2d01fb34b3e7bad0e8a6efe2ec9b946b62ac792c844686dc32f
11,target_features_shard_011_of_047.csv.gz,100,10890,10708,182,0,1112336,a05bd097c9904fe3777a198485e3609bcefde1fd132e7dc481729147fe3aa07b
12,target_features_shard_012_of_047.csv.gz,100,10116,9867,249,0,1023320,c233f86a7736c656cc0599b746bb7851b8b2efa703ccc46ba60845df91c6b90a
13,target_features_shard_013_of_047.csv.gz,100,9874,9802,72,0,1015682,501e346960dfe7e72cccd28b9b3b0a14b8d7527343d5cf1a868985dabb4abc5f
14,target_features_shard_014_of_047.csv.gz,100,10434,10402,32,0,1076144,16cc93c3438980de6411d63818c3a4a23a6dbd2abff9981c6c49f20ecf5e687a
15,target_features_shard_015_of_047.csv.gz,100,9648,9604,44,0,993935,31f32a95ea5c77b7485ea3f8965120cbefd752296a8531e4b917cf5e6a5394e1
16,target_features_shard_016_of_047.csv.gz,100,9653,9643,10,0,993996,84a7e00c9426b75a6f393af69b898f3e4f32b7cdcc9a2b4d01cbc78d9ccf83bf
17,target_features_shard_017_of_047.csv.gz,100,9618,9610,8,0,992797,abe504c82f49fa63b69f010c26f12a635f34baed580e04e78c35dff5ab062776
18,target_features_shard_018_of_047.csv.gz,100,9568,9527,41,0,990928,be78da3ad45836b67dd1c19e086d6776a20b2a335909e315212d72ea7a014e21
19,target_features_shard_019_of_047.csv.gz,100,10991,10933,58,3,1136019,e6803de6b97decf42a347a9e05661e085b01a5250c95c83d92b5512950064803
20,target_features_shard_020_of_047.csv.gz,100,11473,11361,112,0,1178693,5dfb1981b3ee8af930bc5a4572f1a2fcd6658d54170ea5f7be24ed9c984c0833
21,target_features_shard_021_of_047.csv.gz,100,10167,10110,57,0,1046473,765d21d77783c020f77063c75b85ab116169a8c943d7d21781b1427183b7ba2c
22,target_features_shard_022_of_047.csv.gz,100,10084,10057,27,0,1042749,0c19ff800dcda296836d389c4389a77ace77f5635267b67cc4856ce1bd99f91d
23,target_features_shard_023_of_047.csv.gz,100,10189,10077,112,0,1044717,15e10c1bbb55916130771dfce1b18ccf9cb546600401021f6634d068390954e9
24,target_features_shard_024_of_047.csv.gz,100,9320,9275,45,0,960734,27525075edfd023c00c5570559a7951d830e7c9093f34b9b258270c3ed5d8385
25,target_features_shard_025_of_047.csv.gz,100,10412,10363,49,0,1081010,b7c8500906769f3f9bb557f7194b6f73a6b1221f81ad14bd46de2325b50406d3
26,target_features_shard_026_of_047.csv.gz,100,9482,9424,58,0,977455,3898773d76618ed346d8cf12d78a6016a3f741edca7723881045d92833feb597
27,target_features_shard_027_of_047.csv.gz,100,11078,11036,42,0,1144655,114854b3a9902e0518b282d4c6979cfbfd0c7ef83bafa1b66ce01daa58cf789f
28,target_features_shard_028_of_047.csv.gz,100,10692,10586,106,0,1098174,386513cf5acf40f3a933a085d3d204cf55b209e63abfe248ef94cc2f0924871c
29,target_features_shard_029_of_047.csv.gz,100,10219,10176,43,0,1057198,d70b05c8e096a1b2e22039b4cd61184af0390e0ff8ee873b2388537a70ea38d1
30,target_features_shard_030_of_047.csv.gz,100,9963,9915,48,0,1027256,26a19b387f08e9999f6397dece607aa7f344bce607c95187c8000e43dceae419
31,target_features_shard_031_of_047.csv.gz,100,9377,9342,35,0,967837,c6b062b5142a742d34abef2630bf16f6760581ee11cb03d13ed97c16d485053a
32,target_features_shard_032_of_047.csv.gz,100,9751,9663,88,0,1003216,e1c1b792dd44637f4ed5e7a2d6ae8e129fc825c327b992f350c23b828fe662cf
33,target_features_shard_033_of_047.csv.gz,100,10031,9943,88,0,1036181,55e1fb234f2189e8c35f1c554cac0af4962bcb0d3c529a3d577dd238a571c03a
34,target_features_shard_034_of_047.csv.gz,100,9705,9688,17,0,1009705,68d4ff6acd16930334f6731e19d79e2fb4525d2941f8587170c106d7eefe795c
35,target_features_shard_035_of_047.csv.gz,100,10455,10423,32,0,1085548,9abf14774f799a211f28aa7a21105fb436e641c78ccf25c48a2080c0e1422b85
36,target_features_shard_036_of_047.csv.gz,100,9634,9584,50,0,994424,17f79f9397ba79ee5f813f86e696494e326707fc0a6e4cdcf44858097e61dd50
37,target_features_shard_037_of_047.csv.gz,100,9822,9796,26,0,1014772,d2f2271513e4f651a78bb8f06c49b53b20073f0a112f634a682dbc2bf5529072
38,target_features_shard_038_of_047.csv.gz,100,9651,9587,64,0,995685,1cac98aece2fbc0ee5c7944254fddffd4163326a74eabe3f79d9fcdfe9507b8a
39,target_features_shard_039_of_047.csv.gz,100,10615,10511,104,0,1093498,86f324fd05684c241a22299bde6ebeef2db9fe5488ddf5a31c05a8bb43fc04db
40,target_features_shard_040_of_047.csv.gz,100,10205,10163,42,0,1053527,9c01817d5e8168381b4ceff0ed16512a59763c2448157d108e4dee4b121b2c8d
41,target_features_shard_041_of_047.csv.gz,100,10447,10371,76,0,1076842,6ebde5f235502161c52b56055aa575656b2f69c23fd3c3c182c22dd160e5fc1f
42,target_features_shard_042_of_047.csv.gz,100,10739,10657,82,0,1105093,342d4edbb90c7f2ce42976c4e58098bed1f51c0fe62f8fb20848632c56387b95
43,target_features_shard_043_of_047.csv.gz,100,10427,10400,27,0,1080724,2bf8193cc174f2f50ce3e4487f36ba72d84d92a9acf8aa730be3b62cdd1281f1
44,target_features_shard_044_of_047.csv.gz,100,9780,9724,56,0,1010912,e0c5bedb02e1a86bea29df62d742aed2f376d39f8aae1f66bcba04041e61b3e4
45,target_features_shard_045_of_047.csv.gz,100,9972,9884,88,0,1026945,6d1c7bba5dc3289a49f1b31c3ee6bd80e5bca9188e59b0fbf971cbc81c1e4038
