bmrb_id,stage1_candidate_rows,after_coverage_candidate_rows,after_missing_atoms_candidate_rows,best_coverage_exact_numerator,best_coverage_exact_denominator,minimum_missing_required_backbone_atoms,selection_status
11030,2,2,2,1,1,0,unresolved_exact_tie
11034,2,2,2,1,1,0,unresolved_exact_tie
15021,2,2,2,1,1,0,unresolved_exact_tie
15083,2,2,2,1,1,0,unresolved_exact_tie
15090,2,2,2,83,104,0,unresolved_exact_tie
15142,2,2,2,96,101,0,unresolved_exact_tie
15257,2,2,2,53,70,0,unresolved_exact_tie
15317,2,2,2,1,1,0,unresolved_exact_tie
15324,2,2,2,1,1,0,unresolved_exact_tie
15334,2,2,2,1,1,0,unresolved_exact_tie
15347,2,2,2,26,33,0,unresolved_exact_tie
15350,2,2,2,1,1,0,unresolved_exact_tie
15384,2,2,2,1,1,0,unresolved_exact_tie
15418,2,2,2,1,1,0,unresolved_exact_tie
15442,2,2,2,1,1,0,unresolved_exact_tie
15456,2,2,2,1,1,0,unresolved_exact_tie
15511,2,2,2,59,64,0,unresolved_exact_tie
15528,2,2,2,1,1,0,unresolved_exact_tie
15553,2,2,2,1,1,0,unresolved_exact_tie
15591,2,2,2,1,1,0,unresolved_exact_tie
15633,2,2,2,34,35,0,unresolved_exact_tie
15635,2,2,2,34,35,0,unresolved_exact_tie
15636,2,2,2,34,35,0,unresolved_exact_tie
15637,2,2,2,34,35,0,unresolved_exact_tie
15677,8,8,8,1,1,0,unresolved_exact_tie
15691,2,2,2,50,53,0,unresolved_exact_tie
15912,2,2,2,63,64,0,unresolved_exact_tie
15916,2,2,2,62,83,0,unresolved_exact_tie
15931,2,2,2,1,1,0,unresolved_exact_tie
15999,2,2,2,1,1,0,unresolved_exact_tie
16033,2,2,2,1,1,0,unresolved_exact_tie
16034,2,2,2,1,1,0,unresolved_exact_tie
16050,2,2,2,1,1,0,unresolved_exact_tie
16051,2,2,2,1,1,0,unresolved_exact_tie
16110,2,2,2,3,4,0,unresolved_exact_tie
16135,2,2,2,1,1,0,unresolved_exact_tie
16153,2,2,2,23,28,0,unresolved_exact_tie
16249,2,2,2,1,1,0,unresolved_exact_tie
16258,2,2,2,163,165,0,unresolved_exact_tie
16347,2,2,2,61,72,0,unresolved_exact_tie
16368,2,2,2,108,109,0,unresolved_exact_tie
16486,2,2,2,1,1,0,unresolved_exact_tie
