sequence_a_bmrb_id,sequence_a_pdb_id,sequence_a_chain_id,sequence_a_length,sequence_b_bmrb_id,sequence_b_pdb_id,sequence_b_chain_id,sequence_b_length,global_identity,exact_matches,alignment_columns,mismatches,sequence_a_gap_columns,sequence_b_gap_columns,alignment_score,identity_threshold,component_edge
4232,1ZAC,A,90,4264,3EZA,A,249,0.2071713147410358,52,251,36,161,2,-147,0.4,False
4232,1ZAC,A,90,4386,1EZY,A,129,0.2519083969465648,33,131,55,41,2,-65,0.4,False
4232,1ZAC,A,90,4417,1B6F,A,159,0.2378048780487804,39,164,46,74,5,-86,0.4,False
4232,1ZAC,A,90,4429,1RQU,A,120,0.2834645669291338,36,127,47,37,7,-55,0.4,False
4232,1ZAC,A,90,4431,1CKV,A,141,0.2653061224489796,39,147,45,57,6,-69,0.4,False
4232,1ZAC,A,90,4447,1H6Q,A,168,0.2280701754385964,39,171,48,81,3,-93,0.4,False
4232,1ZAC,A,90,4448,1F3Y,A,165,0.2544378698224852,43,169,43,79,4,-83,0.4,False
4232,1ZAC,A,90,4452,2AFP,A,129,0.1969696969696969,26,132,61,42,3,-80,0.4,False
4232,1ZAC,A,90,4467,1UB1,A,125,0.2296296296296296,31,135,49,45,10,-73,0.4,False
4232,1ZAC,A,90,4491,1QJT,A,99,0.2741935483870967,34,124,31,34,25,-56,0.4,False
4232,1ZAC,A,90,4492,1JBA,A,189,0.2525773195876288,49,194,36,104,5,-96,0.4,False
4232,1ZAC,A,90,4497,7HSC,A,159,0.2363636363636363,39,165,45,75,6,-87,0.4,False
4232,1ZAC,A,90,4519,1D7Q,A,143,0.2275862068965517,33,145,55,55,2,-79,0.4,False
4232,1ZAC,A,90,4528,1DC8,A,123,0.21875,28,128,57,38,5,-72,0.4,False
4232,1ZAC,A,90,4553,1DGQ,A,188,0.233160621761658,45,193,40,103,5,-103,0.4,False
4232,1ZAC,A,90,4566,1L6U,A,108,0.2456140350877192,28,114,56,24,6,-58,0.4,False
4232,1ZAC,A,90,4574,1D4B,A,122,0.2325581395348837,30,129,53,39,7,-69,0.4,False
4232,1ZAC,A,90,4577,1C05,A,159,0.2256097560975609,37,164,48,74,5,-90,0.4,False
4232,1ZAC,A,90,4636,1F2H,A,169,0.2254335260115607,39,173,47,83,4,-95,0.4,False
4232,1ZAC,A,90,4641,1FO7,A,107,0.2393162393162393,28,117,52,27,10,-61,0.4,False
4232,1ZAC,A,90,4648,1FZT,A,211,0.2169811320754717,46,212,43,122,1,-120,0.4,False
4232,1ZAC,A,90,4649,1G03,A,134,0.2413793103448276,35,145,44,55,11,-75,0.4,False
4232,1ZAC,A,90,4664,1JZU,A,157,0.253012048192771,42,166,39,76,9,-82,0.4,False
4232,1ZAC,A,90,4668,1IX5,A,151,0.2662337662337662,41,154,46,64,3,-72,0.4,False
4232,1ZAC,A,90,4688,1ILY,A,90,0.238095238095238,25,105,50,15,15,-55,0.4,False
4232,1ZAC,A,90,4697,1D1N,A,99,0.2777777777777778,30,108,51,18,9,-48,0.4,False
4232,1ZAC,A,90,4700,1CF4,A,184,0.2052631578947368,39,190,45,100,6,-112,0.4,False
4232,1ZAC,A,90,4701,1D9S,A,136,0.2302158273381295,32,139,55,49,3,-75,0.4,False
