candidate_pair_rank,bmrb_id,pdb_id
1,4020,1BRV
2,4120,1A60
3,4148,4BMF
4,4157,1LFC
5,4172,1BN9
6,4175,1BN0
7,4176,1BJD
8,4181,1PFD
9,4182,1BFY
10,4187,1SKP
11,4189,1GIW
12,4190,1BIG
13,4191,2BMT
14,4192,1BDE
15,4194,1BH1
16,4195,2BTX
17,4200,1A93
18,4201,1A3P
19,4204,1BQT
20,4208,2DVH
21,4210,1BA5
22,4211,1BBG
23,4212,1BCV
24,4213,1BFW
25,4218,1CN2
26,4219,1BKU
27,4220,1BMX
28,4221,1BM4
29,4226,1LDZ
30,4229,1BQX
31,4231,1BWE
32,4235,1BWT
33,4243,1C11
34,4244,1BX5
35,4246,2V1V
36,4250,3PHP
37,4257,1VPC
38,4257,1X9V
39,4260,1BYV
40,4261,1BZB
41,4268,1BD6
42,4292,1B1V
43,4347,1QP6
44,4351,1QGM
45,4372,1C32
46,4372,1C34
47,4378,2LCP
48,4387,8TFV
49,4392,1B0S
50,4392,1CYZ
51,4398,1QFA
52,4399,1CNL
53,4400,1B4Y
54,4401,1BLQ
55,4406,1QFB
56,4407,1CMZ
57,4409,1QKG
58,4412,1QL5
59,4414,1B3I
60,4415,1TTD
61,4416,1COC
62,4418,1CCQ
63,4419,1CB9
64,4420,1IM1
65,4422,1CCV
66,4426,2BDO
67,4427,1QKY
68,4430,1JWD
69,4430,2CNP
70,4461,1DF6
71,4475,1CR8
72,4476,1B4G
73,4477,1B4I
74,4481,1B9P
75,4483,1CB3
76,4486,2MOB
77,4487,1CE3
78,4488,1CFL
79,4490,1QFD
80,4498,1CL4
81,4500,1CNN
82,4503,1QMW
83,4506,1CW5
84,4507,1CW6
85,4509,1CXR
86,4522,1D8V
87,4526,1DC2
88,4527,1DC7
89,4536,1DGO
90,4541,1QUZ
91,4542,1QE7
92,4547,1C2Q
93,4550,1CQO
94,4551,1CQU
95,4552,1G8C
96,4557,1QLO
97,4570,1B4O
98,4581,1D1O
99,4585,1DU9
100,4587,1ED0
101,4590,1EIG
102,4590,1EIH
103,4591,1EJP
104,4592,1EJQ
105,4595,1CKW
106,4596,1CKX
107,4597,1CKY
108,4598,1CKZ
109,4600,1CL4
110,4601,1DLZ
111,4604,1EE7
112,4607,1EQX
113,4609,1EMQ
114,4610,1EVM
115,4612,1EVO
116,4614,1F5G
117,4615,1DKC
118,4616,1DX7
119,4617,1DXW
120,4618,1DXN
121,4620,1E1U
122,4623,1E5C
123,4628,1G9E
124,4630,1DQB
125,4631,1DU1
126,4633,1FUW
127,4634,1FYJ
128,4635,1G1E
129,4635,1S5Q
130,4635,1S5R
131,4638,1FA3
132,4639,1FEX
133,4640,1FJN
134,4642,1FQQ
135,4643,1FRY
136,4644,1FV5
137,4645,1FWO
138,4646,1FYI
139,4647,1FYY
140,4650,1G04
141,4651,1FDF
