download_rank,pdb_id,experimental_methods,resolution_combined,deposited_atom_count,coordinate_url,download_status
1,1AKE,X-RAY DIFFRACTION,2.0,3816,https://files.rcsb.org/download/1AKE.cif.gz,not_started
2,1AZP,X-RAY DIFFRACTION,1.6,987,https://files.rcsb.org/download/1AZP.cif.gz,not_started
3,1AZQ,X-RAY DIFFRACTION,1.94,923,https://files.rcsb.org/download/1AZQ.cif.gz,not_started
4,1B4C,SOLUTION NMR,,1502,https://files.rcsb.org/download/1B4C.cif.gz,not_started
5,1BBX,SOLUTION NMR,,1490,https://files.rcsb.org/download/1BBX.cif.gz,not_started
6,1BLQ,SOLUTION NMR,,693,https://files.rcsb.org/download/1BLQ.cif.gz,not_started
7,1BPD,X-RAY DIFFRACTION,3.6,2533,https://files.rcsb.org/download/1BPD.cif.gz,not_started
8,1BPE,X-RAY DIFFRACTION,2.9,2158,https://files.rcsb.org/download/1BPE.cif.gz,not_started
9,1BTA,SOLUTION NMR,,720,https://files.rcsb.org/download/1BTA.cif.gz,not_started
10,1C3T,SOLUTION NMR,,602,https://files.rcsb.org/download/1C3T.cif.gz,not_started
11,1C9S,X-RAY DIFFRACTION,1.9,14731,https://files.rcsb.org/download/1C9S.cif.gz,not_started
12,1CA5,X-RAY DIFFRACTION,2.2,949,https://files.rcsb.org/download/1CA5.cif.gz,not_started
13,1CA6,X-RAY DIFFRACTION,2.2,929,https://files.rcsb.org/download/1CA6.cif.gz,not_started
14,1CJE,X-RAY DIFFRACTION,2.5,3414,https://files.rcsb.org/download/1CJE.cif.gz,not_started
15,1CL4,SOLUTION NMR,,250,https://files.rcsb.org/download/1CL4.cif.gz,not_started
16,1CMZ,SOLUTION NMR,,1052,https://files.rcsb.org/download/1CMZ.cif.gz,not_started
17,1CR8,SOLUTION NMR,,319,https://files.rcsb.org/download/1CR8.cif.gz,not_started
18,1D1O,SOLUTION NMR,,598,https://files.rcsb.org/download/1D1O.cif.gz,not_started
19,1D3Z,SOLUTION NMR,,602,https://files.rcsb.org/download/1D3Z.cif.gz,not_started
20,1DC7,SOLUTION NMR,,955,https://files.rcsb.org/download/1DC7.cif.gz,not_started
21,1DT7,SOLUTION NMR,,1856,https://files.rcsb.org/download/1DT7.cif.gz,not_started
22,1E1U,SOLUTION NMR,,875,https://files.rcsb.org/download/1E1U.cif.gz,not_started
23,1E5C,SOLUTION NMR,,608,https://files.rcsb.org/download/1E5C.cif.gz,not_started
24,1E9T,SOLUTION NMR,,457,https://files.rcsb.org/download/1E9T.cif.gz,not_started
25,1EIG,SOLUTION NMR,,580,https://files.rcsb.org/download/1EIG.cif.gz,not_started
26,1EIH,SOLUTION NMR,,580,https://files.rcsb.org/download/1EIH.cif.gz,not_started
27,1EII,SOLUTION NMR,,1116,https://files.rcsb.org/download/1EII.cif.gz,not_started
28,1EKZ,SOLUTION NMR,,1224,https://files.rcsb.org/download/1EKZ.cif.gz,not_started
29,1ERM,X-RAY DIFFRACTION,1.7,2183,https://files.rcsb.org/download/1ERM.cif.gz,not_started
30,1ERO,X-RAY DIFFRACTION,2.1,2124,https://files.rcsb.org/download/1ERO.cif.gz,not_started
31,1EYF,SOLUTION NMR,,732,https://files.rcsb.org/download/1EYF.cif.gz,not_started
32,1F3C,SOLUTION NMR,,1456,https://files.rcsb.org/download/1F3C.cif.gz,not_started
33,1F96,SOLUTION NMR,,1739,https://files.rcsb.org/download/1F96.cif.gz,not_started
34,1FA3,SOLUTION NMR,,798,https://files.rcsb.org/download/1FA3.cif.gz,not_started
35,1FLS,SOLUTION NMR,,1287,https://files.rcsb.org/download/1FLS.cif.gz,not_started
36,1FM1,SOLUTION NMR,,1287,https://files.rcsb.org/download/1FM1.cif.gz,not_started
37,1FOE,X-RAY DIFFRACTION,2.8,17570,https://files.rcsb.org/download/1FOE.cif.gz,not_started
38,1FOV,SOLUTION NMR,,637,https://files.rcsb.org/download/1FOV.cif.gz,not_started
39,1FPW,SOLUTION NMR,,1549,https://files.rcsb.org/download/1FPW.cif.gz,not_started
40,1G47,SOLUTION NMR,,556,https://files.rcsb.org/download/1G47.cif.gz,not_started
41,1G5V,SOLUTION NMR,,441,https://files.rcsb.org/download/1G5V.cif.gz,not_started
