bmrb_id,bmrb_entity_id,shift_list_id,pdb_id,pdb_entity_id,auth_chain_id,candidate_id,label_chain_id,validation_source,inspected_model,coordinate_residue_count,minimum_identity,minimum_bmrb_sequence_coverage,strict_paired_targets,unambiguously_mapped_targets,mapped_target_coverage,mapped_targets_with_complete_backbone,mapped_target_missing_backbone_atoms,coordinate_thresholds_pass,passes,entry_maximum_mapped_targets,n_stage1_contenders,stage1_status,selection_status,usable_coordinate_residue_count,bmrb_sequence_length,missing_required_backbone_atom_count,identity_consistent_consensus_residue_count
11030,1,1,2RNO,1,A,25be2b005f62ee7d21b49b2dc82b937d56203afb341520150257aeab794f7dda,A,STEP 65D-3,1,110,1.0,1.0,106,106,1.0,106,0,True,True,106,2,secondary_metrics_required,unresolved_exact_tie,110.0,110.0,0.0,110.0
11030,1,2,2RNO,1,A,b29e315a36fbb4ce638d915997935fe64c3002d041cc721f96944c48b7af120c,A,STEP 65D-3,1,110,1.0,1.0,106,106,1.0,106,0,True,True,106,2,secondary_metrics_required,unresolved_exact_tie,110.0,110.0,0.0,110.0
11034,1,1,2RO5,1,A,e994b2877755b1dae6e40ee25d92a1aa5a1773c7df90a81f4b291d3459a48bb8,A,STEP 65D-3,1,55,1.0,1.0,49,49,1.0,49,0,True,True,49,2,secondary_metrics_required,unresolved_exact_tie,55.0,55.0,0.0,55.0
11034,1,1,2RO5,1,B,24157eecc5b739e0cfbf257ac78e332dd77462adb0b7d57c9f6c9f0e732c159c,B,STEP 65D-3,1,55,1.0,1.0,49,49,1.0,49,0,True,True,49,2,secondary_metrics_required,unresolved_exact_tie,55.0,55.0,0.0,55.0
15021,1,1,2I7U,1,A,2127f54e68fbac446471295ad89ecd503033923bac1b6993c204b2f8427b5893,A,STEP 65D-3,1,62,1.0,1.0,61,61,1.0,61,0,True,True,61,2,secondary_metrics_required,unresolved_exact_tie,62.0,62.0,0.0,62.0
15021,1,1,2I7U,1,B,82ca3d32b55a068ad3de6fd260cad7ce65d4876b74e594c11d4566cc42f0c065,B,STEP 65D-3,1,62,1.0,1.0,61,61,1.0,61,0,True,True,61,2,secondary_metrics_required,unresolved_exact_tie,62.0,62.0,0.0,62.0
15083,3,1,2O8K,3,A,fda349a45c971513b5320acd03b99cf21fdf7fd99e44327f43fe486f4a42d5f2,C,STEP 65D-3,1,63,1.0,1.0,60,60,1.0,60,0,True,True,60,2,secondary_metrics_required,unresolved_exact_tie,63.0,63.0,0.0,63.0
15083,3,1,2O9L,3,A,5911534704facd3ee31da3e2623a751d514300addf58d8065d2ab0419b4a985b,C,STEP 65D-3,1,63,1.0,1.0,60,60,1.0,60,0,True,True,60,2,secondary_metrics_required,unresolved_exact_tie,63.0,63.0,0.0,63.0
15090,1,1,2MA8,1,A,f027424383ae26a8b4dffedcce59e36b6d55d876ec42605f4ace6e29754ac733,A,STEP 65D-3,1,83,1.0,0.7980769230769231,76,76,1.0,76,0,True,True,76,2,secondary_metrics_required,unresolved_exact_tie,83.0,104.0,0.0,83.0
15090,1,1,2MA8,1,B,87c4fd73fe3b8cfa252bd5d9e1d3efa641aabd055a250edbd880490150d857ea,B,STEP 65D-3,1,83,1.0,0.7980769230769231,76,76,1.0,76,0,True,True,76,2,secondary_metrics_required,unresolved_exact_tie,83.0,104.0,0.0,83.0
15142,1,1,2E8J,1,A,d1ab70321b8e9f735affc76ed86821b9073bc4a1ab13c6fa30f6607b5f7a9240,A,STEP 65D-3,1,96,1.0,0.9504950495049505,90,90,1.0,90,0,True,True,90,2,secondary_metrics_required,unresolved_exact_tie,96.0,101.0,0.0,96.0
15142,1,1,2E8J,1,B,8c012f9fc63e04b6d31a6915d2de9004f517464c3d36dce0bdbfe5a5d6c705b9,B,STEP 65D-3,1,96,1.0,0.9504950495049505,90,90,1.0,90,0,True,True,90,2,secondary_metrics_required,unresolved_exact_tie,96.0,101.0,0.0,96.0
15257,2,1,2JPP,2,A,04b281d5b3a75773c4d54e54d6e9aa6dd5b6c593be22d7c15b5d3756a5e464a3,C,STEP 65D-3,1,53,1.0,0.7571428571428571,60,51,0.85,51,0,True,True,51,2,secondary_metrics_required,unresolved_exact_tie,53.0,70.0,0.0,53.0
15257,2,1,2JPP,2,B,bd48b6bbee4e57ee011e7c68c762585ab606b46cdba1aa100be8d4f98a2ac3dd,D,STEP 65D-3,1,53,1.0,0.7571428571428571,60,51,0.85,51,0,True,True,51,2,secondary_metrics_required,unresolved_exact_tie,53.0,70.0,0.0,53.0
15317,1,1,2JR2,1,A,39cee27489825dc5de16d227557e893aa1a2e107e5b17ddf9425e18d638e7278,A,STEP 65D-3,1,76,1.0,1.0,71,71,1.0,71,0,True,True,71,2,secondary_metrics_required,unresolved_exact_tie,76.0,76.0,0.0,76.0
15317,1,1,2JR2,1,B,c19ecd1053cea65dc26c20384f4c13513bbc215c79344a3d2ff391f6aff2b5f0,B,STEP 65D-3,1,76,1.0,1.0,71,71,1.0,71,0,True,True,71,2,secondary_metrics_required,unresolved_exact_tie,76.0,76.0,0.0,76.0
15324,1,1,2JRA,1,A,5588166c5c850d3eb10ca49d8e5a9e46937cb96214ea6845948beaccb6ff3005,A,STEP 65D-3,1,67,1.0,1.0,61,61,1.0,61,0,True,True,61,2,secondary_metrics_required,unresolved_exact_tie,67.0,67.0,0.0,67.0
15324,1,1,2JRA,1,B,a465587d3a7ec420351636824629f6378c962571083bdcb5142f6409bcba3801,B,STEP 65D-3,1,67,1.0,1.0,61,61,1.0,61,0,True,True,61,2,secondary_metrics_required,unresolved_exact_tie,67.0,67.0,0.0,67.0
15334,1,1,2JRL,1,A,124daf506b22f8374c2ec2c226317fd36638f8cd33a0655935b1d3e3aaba3db1,A,STEP 65D-3,1,121,1.0,1.0,112,112,1.0,112,0,True,True,112,2,secondary_metrics_required,unresolved_exact_tie,121.0,121.0,0.0,121.0
15334,1,1,2JRL,1,B,d7642d54a358aa9094de2ffdedfd8d574241ced0a75c7b402b6e997835bffb6e,B,STEP 65D-3,1,121,1.0,1.0,112,112,1.0,112,0,True,True,112,2,secondary_metrics_required,unresolved_exact_tie,121.0,121.0,0.0,121.0
15347,1,1,2K8S,1,A,1fb6dd6d9a8d793768e2acf9b4e379fa8b5d6ed92a13858fff1a8bb41541e970,A,STEP 65D-3,1,80,1.0,0.7878787878787878,73,73,1.0,73,0,True,True,73,2,secondary_metrics_required,unresolved_exact_tie,78.0,99.0,0.0,78.0
15347,1,1,2K8S,1,B,f93f784228180cc424aeff04c5e0cc4a29ddee5a31d88c7af6467674f043addd,B,STEP 65D-3,1,80,1.0,0.7878787878787878,73,73,1.0,73,0,True,True,73,2,secondary_metrics_required,unresolved_exact_tie,78.0,99.0,0.0,78.0
15350,1,1,2JS1,1,A,c2c57c3abda5bb6a910768486432a4a0a8e33fa15e88b745bbd828f7cdb6baa7,A,STEP 65D-3,1,80,1.0,1.0,72,72,1.0,72,0,True,True,72,2,secondary_metrics_required,unresolved_exact_tie,80.0,80.0,0.0,80.0
15350,1,1,2JS1,1,B,fca590d184437e2e1e9e4f28d926132bbce7d1bd24bc28e97c8c05c92a59daca,B,STEP 65D-3,1,80,1.0,1.0,72,72,1.0,72,0,True,True,72,2,secondary_metrics_required,unresolved_exact_tie,80.0,80.0,0.0,80.0
15384,1,1,2JST,1,A,2489b7fdddfb2528d887464c538d93574e0b23785ea1c566bfc282846c5c205c,A,STEP 65D-3,1,62,1.0,1.0,61,61,1.0,61,0,True,True,61,2,secondary_metrics_required,unresolved_exact_tie,62.0,62.0,0.0,62.0
15384,1,1,2JST,1,B,516ab638d2ab883b82164f880c40372575aeddd8e5a2b5c555dc84fa558aa5b4,B,STEP 65D-3,1,62,1.0,1.0,61,61,1.0,61,0,True,True,61,2,secondary_metrics_required,unresolved_exact_tie,62.0,62.0,0.0,62.0
15418,1,1,2JTT,1,A,262f8e32418b696bafb4a65efa810da421cfeed6a5457e298e45f4cc67962b16,A,STEP 65D-3,1,90,1.0,1.0,82,82,1.0,82,0,True,True,82,2,secondary_metrics_required,unresolved_exact_tie,90.0,90.0,0.0,90.0
15418,1,1,2JTT,1,B,e29f2d76f602c037c82924e8d3ea213768ab437862203a61b5b43a13f7a6d98a,B,STEP 65D-3,1,90,1.0,1.0,82,82,1.0,82,0,True,True,82,2,secondary_metrics_required,unresolved_exact_tie,90.0,90.0,0.0,90.0
15442,1,1,2JUG,1,A,ee85a7ba2c2ff257c3d7c0e25efe3ad6e236824fda10e87ace72a7197093b1dd,A,STEP 65D-3,1,78,1.0,1.0,68,68,1.0,68,0,True,True,68,2,secondary_metrics_required,unresolved_exact_tie,78.0,78.0,0.0,78.0
