bmrb_id,candidate_id,mapped_target_rows,pdb_id,retained_unmapped_target_rows,source_feature_sha256,source_feature_size_bytes,strict_target_rows,structure_nan_values,validation_status
10002,e21d2383204e094d64cfdb520386cc70044538c1142a5550d6d5e91fe3196732,50,1VEX,0,78f828c8ea863c5b12d985b2d8ecf491390be2baeac8812342c8915c328d02c5,6084,50,0,passed
10006,eafe0beea1ebc7474b9eda600a423738fa8133646c906cbf1ac047d70d1dc266,96,1WFU,0,5981bc4277e1458bfca69adebaaa6639574341dfd1cbe201d68c740c65824618,10547,96,0,passed
10008,5dd3dfacf4e2d22284d45ebb330c2fbeea1086f39b76fd11b35644e9c0764ae1,93,1WFT,0,a40c2ca7b081c0868cfd8fe5d6956bf647e88e6ae4ca14d90c9d84183640d513,10526,93,0,passed
10009,69b9b501407dbffac2a5eef2815663c9d2aa7b01e527928b0a525c85fdbb2ece,59,1WFW,0,8077dbec1770ff630a6dbd2f18fb35088b978f9cf0864fabea959df960945826,7038,59,0,passed
10011,f9ab5b46a9ff4a84d347327d098de0a3178787fa6dea0d8687536227feea5528,103,2COM,0,2d6fa5df8255638354fcd3b45424877f4716b315cb28dbaf843d083bba967dac,11411,103,0,passed
10012,95e42ff30a67fcd4da0e25c62ac61d390ae45b517c03310900a457633ad22612,49,1VDI,0,4e863051d2aee3f5c6d819c13006493313f81b93082685dbe93a216c4ca43481,5888,49,0,passed
10013,383760b360b638f89f3f0986c61fa9fd18bbbace7e985aca1a2892123c2a51ee,71,1WIL,0,f5464b6665c4438795f00ba4f8aa68b91a6830262e9ce67715f9957de8e38de9,8245,71,0,passed
10019,bef549e826ee202079b9ae4f5a8114ea08f0e6e47356b8bb48a70578d94a466f,75,2RQG,0,9cd33c6bc1f263490ace4ecb557961cdff33c84acf3ab1ce85d4b0e35ae756a6,8709,75,0,passed
10024,6da38c74e506d48873dddf660cc014e8fcbb22468b3ad20ad72238e35588716f,66,2DW3,0,4977679f6118775e0f84398fe7399ed00f9ea4d79205824990796aa5915c103a,7465,66,0,passed
10025,32d8f384375c174d2b8b5b03f8380c847a717bcb35bd75e8fe22618d58f411ea,91,1UL7,0,d20029d580f1e5d044095ebb8464c4a728b0dad5a30aa0e3b3b6f031f1847aa7,10235,91,0,passed
10026,96f79b7bca14916116972e7e452ef2865db2c15f4dfb244ea431bc819cc32d2c,120,1V5S,0,291bfbbe487c0cdbac135313c7223d8071b6df3a16e2ed0ec62c9b97ed12bd79,13084,120,0,passed
10027,13cf5bf367eea74445e11a704d7db92d095af9828ba6979002ac9cfb7fbe3b5c,96,2E0G,0,1e10e7d6a259765a7482c221c4d91acf0f7ebf5355858c812c949443a87fed82,10731,96,0,passed
10029,41e31facc4892351dddc4f66dc7c64e00dcb683837ec0a245cea951b30e5c367,94,1WFV,0,d9bcb1afa88b077ccfec2076b978919e97e34e0d36938418711bed0301dd9740,10584,94,0,passed
10030,0937e3383d258eb041acfc1330bed2cbf5b143a0d6c45746a6e12a1817f853ea,116,1WJO,0,1b8eb8c7b13bebe4c1bd711c099b76f719030931c17061bbeacd6575c2cedb12,12703,116,0,passed
10031,55f7cf10e44ea1e2f54a53b3017c6e22a971768063b99f05ed640e13ede9ad78,111,1WJR,0,2901e82ae728e9edfa4d2e2b28e123208a8df7e7be70199e2df066d3aefcc289,12338,111,0,passed
10032,371f38095520c0fd0bd334e7d53c8459f976a7da2542638fe558164a3863cf5c,108,1WJS,0,3eee196c1072efccdccdfaab08f1de6ba77dea5fb0d257ea835129ac57f448c5,12048,108,0,passed
10033,8350605c6bb2c971f2dfd3cca759d824f6f35b0743253b42a0bf0e130303c75a,81,1WJZ,0,464ac304b856aae767bf63bd0916a08e460a28c5298e25807a0d1765708b2be9,9168,81,0,passed
10034,4673b354c4b608d63519f28b554e68cfe84374f1da771d482ee5de1e3809e008,123,1WK0,0,2751129a2da616e15151c441cf97942382279b29710b0df0fd0235da306e7a12,13530,123,0,passed
10035,9373a561c345db696a47dbaa4205b0f94a82bacd045fbee89d7b806aa6fa9672,137,1WK1,0,ff87f0ba05253b5862c5b81b38cf6443b926aac471149367307f0de9044a15c8,14676,137,0,passed
10036,51c11e0a44ccc2368ae0ab8cdea91736381d8cbdb3463ae93c33e3041206ccf4,145,1WLM,0,72fbd29753c3ff13c1c0b6a12c31f9ded2ac8f2fd952240f8342d6506a0fb98a,15710,145,0,passed
10037,568e67f1695f8b872f41612a9ce45299b7a0d262b5e62a23dba387df3ed08e45,85,1WJQ,0,66e93ee8c7379265dff241e7f62929a8b14ff0527a51b1d2c78b95defd25b398,9695,85,0,passed
10038,0ab25480a9670ebadcb82c1fd2b8487b8a741c9399da6e601a044218ced5e922,94,1WJP,0,ce40fdd746b29b3198442c4269921b83b4858a509111f9597e5242c575e702d6,10550,94,0,passed
10039,ea4d99626cf344ac0ceccc6a78c2152ed087195f0a322b5b6697a18e2ba21e41,102,1WGQ,0,0fc6342ec788246a964c68516b9b050e697d8b325ee17326f37e508c2ee6a77e,11424,102,0,passed
10040,e2f335259c10e7d633ccd2a30ff425bb80b5541ccf53884b805bd2816eaf9d6f,86,1WGR,0,bfaab427d0d6948ffee059752d23c6939951ac47aeb4663a8ba74e00e7a346e8,9507,86,0,passed
